deviceid,appversion,timestamp,cpuoccupancy
810EBM32TZ4K,V1.0.0,2019-07-15 11:53:33,  0
810EBM32TZ4K,V1.0.0,2019-07-15 11:53:38,  14
810EBM32TZ4K,V1.0.0,2019-07-15 11:53:43,  14
810EBM32TZ4K,V1.0.0,2019-07-15 11:53:48,  17
810EBM32TZ4K,V1.0.0,2019-07-15 11:53:54,  17
810EBM32TZ4K,V1.0.0,2019-07-15 11:53:59,  21
810EBM32TZ4K,V1.0.0,2019-07-15 11:54:04,  19
810EBM32TZ4K,V1.0.0,2019-07-15 11:54:09,  11
810EBM32TZ4K,V1.0.0,2019-07-15 11:54:14,  11
810EBM32TZ4K,V1.0.0,2019-07-15 11:54:19,  40
810EBM32TZ4K,V1.0.0,2019-07-15 11:54:24,  40
810EBM32TZ4K,V1.0.0,2019-07-15 11:54:29,  20
810EBM32TZ4K,V1.0.0,2019-07-15 11:54:34,  81
810EBM32TZ4K,V1.0.0,2019-07-15 11:54:39,  81
810EBM32TZ4K,V1.0.0,2019-07-15 11:54:44,  105
810EBM32TZ4K,V1.0.0,2019-07-15 11:54:50,  105
810EBM32TZ4K,V1.0.0,2019-07-15 11:54:55,  44
810EBM32TZ4K,V1.0.0,2019-07-15 11:55:00,  11
810EBM32TZ4K,V1.0.0,2019-07-15 11:55:05,  32
810EBM32TZ4K,V1.0.0,2019-07-15 11:55:10,  15
810EBM32TZ4K,V1.0.0,2019-07-15 11:55:15,  11
810EBM32TZ4K,V1.0.0,2019-07-15 11:55:20,  11
810EBM32TZ4K,V1.0.0,2019-07-15 11:55:25,  1.9
810EBM32TZ4K,V1.0.0,2019-07-15 11:55:31,  24
810EBM32TZ4K,V1.0.0,2019-07-15 11:55:36,  23
810EBM32TZ4K,V1.0.0,2019-07-15 11:55:41,  23
810EBM32TZ4K,V1.0.0,2019-07-15 11:55:46,  23
810EBM32TZ4K,V1.0.0,2019-07-15 11:55:51,  19
810EBM32TZ4K,V1.0.0,2019-07-15 11:55:56,  19
810EBM32TZ4K,V1.0.0,2019-07-15 11:56:01,  37
810EBM32TZ4K,V1.0.0,2019-07-15 11:56:06,  22
810EBM32TZ4K,V1.0.0,2019-07-15 11:56:11,  22
810EBM32TZ4K,V1.0.0,2019-07-15 11:56:16,  6.8
810EBM32TZ4K,V1.0.0,2019-07-15 11:56:21,  6.8
810EBM32TZ4K,V1.0.0,2019-07-15 11:56:26,  14
810EBM32TZ4K,V1.0.0,2019-07-15 11:56:32,  4.8
810EBM32TZ4K,V1.0.0,2019-07-15 11:56:37,  4.8
810EBM32TZ4K,V1.0.0,2019-07-15 11:56:42,  10
810EBM32TZ4K,V1.0.0,2019-07-15 11:56:47,  10
810EBM32TZ4K,V1.0.0,2019-07-15 11:56:52,  7.5
810EBM32TZ4K,V1.0.0,2019-07-15 11:56:57,  12
810EBM32TZ4K,V1.0.0,2019-07-15 11:57:02,  3.4
810EBM32TZ4K,V1.0.0,2019-07-15 11:57:07,  13
810EBM32TZ4K,V1.0.0,2019-07-15 11:57:12,  13
810EBM32TZ4K,V1.0.0,2019-07-15 11:57:17,  10
810EBM32TZ4K,V1.0.0,2019-07-15 11:57:23,  15
810EBM32TZ4K,V1.0.0,2019-07-15 11:57:28,  10
810EBM32TZ4K,V1.0.0,2019-07-15 11:57:33,  10
810EBM32TZ4K,V1.0.0,2019-07-15 11:57:38,  1.2
810EBM32TZ4K,V1.0.0,2019-07-15 11:57:43,  1.2
810EBM32TZ4K,V1.0.0,2019-07-15 11:57:48,  7.2
810EBM32TZ4K,V1.0.0,2019-07-15 11:57:53,  6.4
810EBM32TZ4K,V1.0.0,2019-07-15 11:57:58,  7.2
810EBM32TZ4K,V1.0.0,2019-07-15 11:58:03,  15
810EBM32TZ4K,V1.0.0,2019-07-15 11:58:08,  75
810EBM32TZ4K,V1.0.0,2019-07-15 11:58:14,  27
810EBM32TZ4K,V1.0.0,2019-07-15 11:58:19,  27
810EBM32TZ4K,V1.0.0,2019-07-15 11:58:24,  1.1
810EBM32TZ4K,V1.0.0,2019-07-15 11:58:29,  7.5
810EBM32TZ4K,V1.0.0,2019-07-15 11:58:34,  8.6
810EBM32TZ4K,V1.0.0,2019-07-15 11:58:39,  2.2
810EBM32TZ4K,V1.0.0,2019-07-15 11:58:44,  24
810EBM32TZ4K,V1.0.0,2019-07-15 11:58:49,  15
810EBM32TZ4K,V1.0.0,2019-07-15 11:58:54,  15
810EBM32TZ4K,V1.0.0,2019-07-15 11:58:59,  11
810EBM32TZ4K,V1.0.0,2019-07-15 11:59:04,  65
810EBM32TZ4K,V1.0.0,2019-07-15 11:59:09,  25
810EBM32TZ4K,V1.0.0,2019-07-15 11:59:14,  7.1
810EBM32TZ4K,V1.0.0,2019-07-15 11:59:20,  7.1
810EBM32TZ4K,V1.0.0,2019-07-15 11:59:25,  1.9
810EBM32TZ4K,V1.0.0,2019-07-15 11:59:30,  6
810EBM32TZ4K,V1.0.0,2019-07-15 11:59:35,  11
810EBM32TZ4K,V1.0.0,2019-07-15 11:59:40,  23
810EBM32TZ4K,V1.0.0,2019-07-15 11:59:45,  36
810EBM32TZ4K,V1.0.0,2019-07-15 11:59:50,  36
810EBM32TZ4K,V1.0.0,2019-07-15 11:59:55,  48
810EBM32TZ4K,V1.0.0,2019-07-15 12:00:00,  21
810EBM32TZ4K,V1.0.0,2019-07-15 12:00:05,  21
810EBM32TZ4K,V1.0.0,2019-07-15 12:00:10,  14
810EBM32TZ4K,V1.0.0,2019-07-15 12:00:16,  26
810EBM32TZ4K,V1.0.0,2019-07-15 12:00:21,  26
810EBM32TZ4K,V1.0.0,2019-07-15 12:00:26,  12
810EBM32TZ4K,V1.0.0,2019-07-15 12:00:31,  12
810EBM32TZ4K,V1.0.0,2019-07-15 12:00:36,  17
810EBM32TZ4K,V1.0.0,2019-07-15 12:00:41,  15
810EBM32TZ4K,V1.0.0,2019-07-15 12:00:46,  16
810EBM32TZ4K,V1.0.0,2019-07-15 12:00:51,  14
810EBM32TZ4K,V1.0.0,2019-07-15 12:00:56,  14
810EBM32TZ4K,V1.0.0,2019-07-15 12:01:02,  14
810EBM32TZ4K,V1.0.0,2019-07-15 12:01:07,  10
810EBM32TZ4K,V1.0.0,2019-07-15 12:01:12,  3.6
810EBM32TZ4K,V1.0.0,2019-07-15 12:01:17,  4.1
810EBM32TZ4K,V1.0.0,2019-07-15 12:01:22,  10
810EBM32TZ4K,V1.0.0,2019-07-15 12:01:28,  2.6
810EBM32TZ4K,V1.0.0,2019-07-15 12:01:33,  2.6
810EBM32TZ4K,V1.0.0,2019-07-15 12:01:38,  24
810EBM32TZ4K,V1.0.0,2019-07-15 12:01:43,  24
810EBM32TZ4K,V1.0.0,2019-07-15 12:01:48,  102
810EBM32TZ4K,V1.0.0,2019-07-15 12:01:53,  14
810EBM32TZ4K,V1.0.0,2019-07-15 12:01:58,  14
810EBM32TZ4K,V1.0.0,2019-07-15 12:02:03,  9.4
810EBM32TZ4K,V1.0.0,2019-07-15 12:02:08,  53
810EBM32TZ4K,V1.0.0,2019-07-15 12:02:13,  40
810EBM32TZ4K,V1.0.0,2019-07-15 12:02:18,  40
810EBM32TZ4K,V1.0.0,2019-07-15 12:02:24,  46
810EBM32TZ4K,V1.0.0,2019-07-15 12:02:29,  15
810EBM32TZ4K,V1.0.0,2019-07-15 12:02:34,  1.3
810EBM32TZ4K,V1.0.0,2019-07-15 12:02:39,  81
810EBM32TZ4K,V1.0.0,2019-07-15 12:02:44,  75
810EBM32TZ4K,V1.0.0,2019-07-15 12:02:49,  14
810EBM32TZ4K,V1.0.0,2019-07-15 12:02:54,  7.3
810EBM32TZ4K,V1.0.0,2019-07-15 12:02:59,  7.3
810EBM32TZ4K,V1.0.0,2019-07-15 12:03:04,  10
810EBM32TZ4K,V1.0.0,2019-07-15 12:03:10,  1.8
810EBM32TZ4K,V1.0.0,2019-07-15 12:03:15,  14
810EBM32TZ4K,V1.0.0,2019-07-15 12:03:20,  4.1
810EBM32TZ4K,V1.0.0,2019-07-15 12:03:25,  1.6
810EBM32TZ4K,V1.0.0,2019-07-15 12:03:30,  1.6
810EBM32TZ4K,V1.0.0,2019-07-15 12:03:35,  6.4
810EBM32TZ4K,V1.0.0,2019-07-15 12:03:40,  17
810EBM32TZ4K,V1.0.0,2019-07-15 12:03:45,  10
810EBM32TZ4K,V1.0.0,2019-07-15 12:03:50,  13
810EBM32TZ4K,V1.0.0,2019-07-15 12:03:56,  13
810EBM32TZ4K,V1.0.0,2019-07-15 12:04:01,  19
810EBM32TZ4K,V1.0.0,2019-07-15 12:04:06,  9.8
810EBM32TZ4K,V1.0.0,2019-07-15 12:04:11,  9.8
810EBM32TZ4K,V1.0.0,2019-07-15 12:04:16,  18
810EBM32TZ4K,V1.0.0,2019-07-15 12:04:21,  10
810EBM32TZ4K,V1.0.0,2019-07-15 12:04:26,  10
810EBM32TZ4K,V1.0.0,2019-07-15 12:04:31,  3.3
810EBM32TZ4K,V1.0.0,2019-07-15 12:04:37,  3.6
810EBM32TZ4K,V1.0.0,2019-07-15 12:04:42,  4.2
810EBM32TZ4K,V1.0.0,2019-07-15 12:04:47,  23
810EBM32TZ4K,V1.0.0,2019-07-15 12:04:52,  23
810EBM32TZ4K,V1.0.0,2019-07-15 12:04:57,  23
810EBM32TZ4K,V1.0.0,2019-07-15 12:05:02,  30
810EBM32TZ4K,V1.0.0,2019-07-15 12:05:07,  39
810EBM32TZ4K,V1.0.0,2019-07-15 12:05:12,  20
810EBM32TZ4K,V1.0.0,2019-07-15 12:05:17,  11
810EBM32TZ4K,V1.0.0,2019-07-15 12:05:23,  11
810EBM32TZ4K,V1.0.0,2019-07-15 12:05:28,  5.9
810EBM32TZ4K,V1.0.0,2019-07-15 12:05:33,  22
810EBM32TZ4K,V1.0.0,2019-07-15 12:05:38,  22
810EBM32TZ4K,V1.0.0,2019-07-15 12:05:43,  18
810EBM32TZ4K,V1.0.0,2019-07-15 12:05:48,  28
810EBM32TZ4K,V1.0.0,2019-07-15 12:05:53,  28
810EBM32TZ4K,V1.0.0,2019-07-15 12:05:58,  28
810EBM32TZ4K,V1.0.0,2019-07-15 12:06:03,  28
810EBM32TZ4K,V1.0.0,2019-07-15 12:06:08,  6.8
810EBM32TZ4K,V1.0.0,2019-07-15 12:06:13,  9.6
810EBM32TZ4K,V1.0.0,2019-07-15 12:06:18,  9.6
810EBM32TZ4K,V1.0.0,2019-07-15 12:06:23,  7.7
810EBM32TZ4K,V1.0.0,2019-07-15 12:06:29,  1.2
810EBM32TZ4K,V1.0.0,2019-07-15 12:06:34,  13
810EBM32TZ4K,V1.0.0,2019-07-15 12:06:39,  13
810EBM32TZ4K,V1.0.0,2019-07-15 12:06:44,  17
810EBM32TZ4K,V1.0.0,2019-07-15 12:06:49,  11
810EBM32TZ4K,V1.0.0,2019-07-15 12:06:54,  15
810EBM32TZ4K,V1.0.0,2019-07-15 12:06:59,  15
810EBM32TZ4K,V1.0.0,2019-07-15 12:07:04,  4.6
810EBM32TZ4K,V1.0.0,2019-07-15 12:07:09,  7.9
810EBM32TZ4K,V1.0.0,2019-07-15 12:07:14,  2.2
810EBM32TZ4K,V1.0.0,2019-07-15 12:07:20,  2.2
810EBM32TZ4K,V1.0.0,2019-07-15 12:07:25,  30
810EBM32TZ4K,V1.0.0,2019-07-15 12:07:30,  30
810EBM32TZ4K,V1.0.0,2019-07-15 12:07:35,  36
810EBM32TZ4K,V1.0.0,2019-07-15 12:07:41,  4.8
810EBM32TZ4K,V1.0.0,2019-07-15 12:07:46,  101
810EBM32TZ4K,V1.0.0,2019-07-15 12:07:51,  101
810EBM32TZ4K,V1.0.0,2019-07-15 12:07:56,  36
810EBM32TZ4K,V1.0.0,2019-07-15 12:08:01,  6.1
810EBM32TZ4K,V1.0.0,2019-07-15 12:08:06,  9.2
810EBM32TZ4K,V1.0.0,2019-07-15 12:08:11,  26
810EBM32TZ4K,V1.0.0,2019-07-15 12:08:16,  14
810EBM32TZ4K,V1.0.0,2019-07-15 12:08:21,  14
810EBM32TZ4K,V1.0.0,2019-07-15 12:08:26,  11
810EBM32TZ4K,V1.0.0,2019-07-15 12:08:32,  0.9
810EBM32TZ4K,V1.0.0,2019-07-15 12:08:37,  2.1
810EBM32TZ4K,V1.0.0,2019-07-15 12:08:42,  26
810EBM32TZ4K,V1.0.0,2019-07-15 12:08:47,  26
810EBM32TZ4K,V1.0.0,2019-07-15 12:08:52,  25
810EBM32TZ4K,V1.0.0,2019-07-15 12:08:57,  25
810EBM32TZ4K,V1.0.0,2019-07-15 12:09:02,  22
810EBM32TZ4K,V1.0.0,2019-07-15 12:09:07,  14
810EBM32TZ4K,V1.0.0,2019-07-15 12:09:12,  14
810EBM32TZ4K,V1.0.0,2019-07-15 12:09:18,  7.3
810EBM32TZ4K,V1.0.0,2019-07-15 12:09:23,  7.9
810EBM32TZ4K,V1.0.0,2019-07-15 12:09:28,  9.9
810EBM32TZ4K,V1.0.0,2019-07-15 12:09:33,  9.9
810EBM32TZ4K,V1.0.0,2019-07-15 12:09:38,  6.4
810EBM32TZ4K,V1.0.0,2019-07-15 12:09:43,  13
810EBM32TZ4K,V1.0.0,2019-07-15 12:09:48,  4.1
810EBM32TZ4K,V1.0.0,2019-07-15 12:09:53,  4.1
810EBM32TZ4K,V1.0.0,2019-07-15 12:09:58,  12
810EBM32TZ4K,V1.0.0,2019-07-15 12:10:04,  25
810EBM32TZ4K,V1.0.0,2019-07-15 12:10:09,  77
810EBM32TZ4K,V1.0.0,2019-07-15 12:10:14,  7.6
810EBM32TZ4K,V1.0.0,2019-07-15 12:10:19,  7.6
810EBM32TZ4K,V1.0.0,2019-07-15 12:10:24,  24
810EBM32TZ4K,V1.0.0,2019-07-15 12:10:29,  19
810EBM32TZ4K,V1.0.0,2019-07-15 12:10:34,  8.5
810EBM32TZ4K,V1.0.0,2019-07-15 12:10:39,  8.5
810EBM32TZ4K,V1.0.0,2019-07-15 12:10:44,  10
810EBM32TZ4K,V1.0.0,2019-07-15 12:10:49,  10
810EBM32TZ4K,V1.0.0,2019-07-15 12:10:55,  9.7
810EBM32TZ4K,V1.0.0,2019-07-15 12:11:00,  98
810EBM32TZ4K,V1.0.0,2019-07-15 12:11:05,  103
810EBM32TZ4K,V1.0.0,2019-07-15 12:11:10,  14
810EBM32TZ4K,V1.0.0,2019-07-15 12:11:15,  10
810EBM32TZ4K,V1.0.0,2019-07-15 12:11:20,  7.2
810EBM32TZ4K,V1.0.0,2019-07-15 12:11:25,  7.2
810EBM32TZ4K,V1.0.0,2019-07-15 12:11:30,  29
810EBM32TZ4K,V1.0.0,2019-07-15 12:11:35,  20
810EBM32TZ4K,V1.0.0,2019-07-15 12:11:40,  20
810EBM32TZ4K,V1.0.0,2019-07-15 12:11:45,  10
810EBM32TZ4K,V1.0.0,2019-07-15 12:11:51,  2.7
810EBM32TZ4K,V1.0.0,2019-07-15 12:11:56,  2.7
810EBM32TZ4K,V1.0.0,2019-07-15 12:12:01,  4.1
810EBM32TZ4K,V1.0.0,2019-07-15 12:12:06,  13
810EBM32TZ4K,V1.0.0,2019-07-15 12:12:11,  9.3
810EBM32TZ4K,V1.0.0,2019-07-15 12:12:16,  12
810EBM32TZ4K,V1.0.0,2019-07-15 12:12:21,  12
810EBM32TZ4K,V1.0.0,2019-07-15 12:12:27,  12
810EBM32TZ4K,V1.0.0,2019-07-15 12:12:32,  13
810EBM32TZ4K,V1.0.0,2019-07-15 12:12:37,  3.4
810EBM32TZ4K,V1.0.0,2019-07-15 12:12:42,  9.6
810EBM32TZ4K,V1.0.0,2019-07-15 12:12:47,  21
810EBM32TZ4K,V1.0.0,2019-07-15 12:12:52,  21
810EBM32TZ4K,V1.0.0,2019-07-15 12:12:57,  9.6
810EBM32TZ4K,V1.0.0,2019-07-15 12:13:02,  17
810EBM32TZ4K,V1.0.0,2019-07-15 12:13:07,  17
810EBM32TZ4K,V1.0.0,2019-07-15 12:13:12,  1.6
810EBM32TZ4K,V1.0.0,2019-07-15 12:13:18,  26
810EBM32TZ4K,V1.0.0,2019-07-15 12:13:23,  21
810EBM32TZ4K,V1.0.0,2019-07-15 12:13:28,  21
810EBM32TZ4K,V1.0.0,2019-07-15 12:13:33,  11
810EBM32TZ4K,V1.0.0,2019-07-15 12:13:38,  6.9
810EBM32TZ4K,V1.0.0,2019-07-15 12:13:43,  1.9
810EBM32TZ4K,V1.0.0,2019-07-15 12:13:48,  1.9
810EBM32TZ4K,V1.0.0,2019-07-15 12:13:53,  10
810EBM32TZ4K,V1.0.0,2019-07-15 12:13:58,  7.4
810EBM32TZ4K,V1.0.0,2019-07-15 12:14:04,  7.4
810EBM32TZ4K,V1.0.0,2019-07-15 12:14:09,  6.5
810EBM32TZ4K,V1.0.0,2019-07-15 12:14:14,  4.2
810EBM32TZ4K,V1.0.0,2019-07-15 12:14:19,  4.2
810EBM32TZ4K,V1.0.0,2019-07-15 12:14:24,  4.8
810EBM32TZ4K,V1.0.0,2019-07-15 12:14:29,  4.8
810EBM32TZ4K,V1.0.0,2019-07-15 12:14:34,  6.1
810EBM32TZ4K,V1.0.0,2019-07-15 12:14:39,  8.3
810EBM32TZ4K,V1.0.0,2019-07-15 12:14:44,  19
810EBM32TZ4K,V1.0.0,2019-07-15 12:14:50,  6.1
810EBM32TZ4K,V1.0.0,2019-07-15 12:14:55,  6.1
810EBM32TZ4K,V1.0.0,2019-07-15 12:15:00,  16
810EBM32TZ4K,V1.0.0,2019-07-15 12:15:05,  14
810EBM32TZ4K,V1.0.0,2019-07-15 12:15:10,  11
810EBM32TZ4K,V1.0.0,2019-07-15 12:15:15,  11
810EBM32TZ4K,V1.0.0,2019-07-15 12:15:20,  3.7
810EBM32TZ4K,V1.0.0,2019-07-15 12:15:25,  3.7
810EBM32TZ4K,V1.0.0,2019-07-15 12:15:30,  6.8
810EBM32TZ4K,V1.0.0,2019-07-15 12:15:35,  6.1
810EBM32TZ4K,V1.0.0,2019-07-15 12:15:40,  18
810EBM32TZ4K,V1.0.0,2019-07-15 12:15:46,  19
810EBM32TZ4K,V1.0.0,2019-07-15 12:15:51,  10
810EBM32TZ4K,V1.0.0,2019-07-15 12:15:56,  10
810EBM32TZ4K,V1.0.0,2019-07-15 12:16:01,  19
810EBM32TZ4K,V1.0.0,2019-07-15 12:16:07,  12
810EBM32TZ4K,V1.0.0,2019-07-15 12:16:15,  12
810EBM32TZ4K,V1.0.0,2019-07-15 12:16:20,  12
810EBM32TZ4K,V1.0.0,2019-07-15 12:16:25,  12
810EBM32TZ4K,V1.0.0,2019-07-15 12:16:30,  12
810EBM32TZ4K,V1.0.0,2019-07-15 12:16:35,  9.5
810EBM32TZ4K,V1.0.0,2019-07-15 12:16:40,  5.4
810EBM32TZ4K,V1.0.0,2019-07-15 12:16:45,  5.4
810EBM32TZ4K,V1.0.0,2019-07-15 12:16:50,  11
810EBM32TZ4K,V1.0.0,2019-07-15 12:16:55,  12
810EBM32TZ4K,V1.0.0,2019-07-15 12:17:00,  12
810EBM32TZ4K,V1.0.0,2019-07-15 12:17:05,  8.4
810EBM32TZ4K,V1.0.0,2019-07-15 12:17:11,  2
810EBM32TZ4K,V1.0.0,2019-07-15 12:17:16,  8.6
810EBM32TZ4K,V1.0.0,2019-07-15 12:17:21,  29
810EBM32TZ4K,V1.0.0,2019-07-15 12:17:26,  10
810EBM32TZ4K,V1.0.0,2019-07-15 12:17:31,  10
810EBM32TZ4K,V1.0.0,2019-07-15 12:17:36,  9.7
810EBM32TZ4K,V1.0.0,2019-07-15 12:17:41,  7.8
810EBM32TZ4K,V1.0.0,2019-07-15 12:17:46,  2.5
810EBM32TZ4K,V1.0.0,2019-07-15 12:17:51,  2.5
810EBM32TZ4K,V1.0.0,2019-07-15 12:17:56,  9.2
810EBM32TZ4K,V1.0.0,2019-07-15 12:18:02,  9.2
810EBM32TZ4K,V1.0.0,2019-07-15 12:18:07,  11
810EBM32TZ4K,V1.0.0,2019-07-15 12:18:12,  4.5
810EBM32TZ4K,V1.0.0,2019-07-15 12:18:17,  2.1
810EBM32TZ4K,V1.0.0,2019-07-15 12:18:22,  2.1
810EBM32TZ4K,V1.0.0,2019-07-15 12:18:27,  9.9
810EBM32TZ4K,V1.0.0,2019-07-15 12:18:32,  9.9
810EBM32TZ4K,V1.0.0,2019-07-15 12:18:37,  9.4
810EBM32TZ4K,V1.0.0,2019-07-15 12:18:42,  20
810EBM32TZ4K,V1.0.0,2019-07-15 12:18:47,  26
810EBM32TZ4K,V1.0.0,2019-07-15 12:18:53,  26
810EBM32TZ4K,V1.0.0,2019-07-15 12:18:58,  26
