deviceid,appversion,timestamp,temperature
810EBM32TZ4K,V1.0.0,2019-07-15 11:53:31,32.0
810EBM32TZ4K,V1.0.0,2019-07-15 11:53:36,32.0
810EBM32TZ4K,V1.0.0,2019-07-15 11:53:41,32.0
810EBM32TZ4K,V1.0.0,2019-07-15 11:53:46,32.0
810EBM32TZ4K,V1.0.0,2019-07-15 11:53:51,32.0
810EBM32TZ4K,V1.0.0,2019-07-15 11:53:57,32.0
810EBM32TZ4K,V1.0.0,2019-07-15 11:54:02,32.0
810EBM32TZ4K,V1.0.0,2019-07-15 11:54:07,32.0
810EBM32TZ4K,V1.0.0,2019-07-15 11:54:12,32.0
810EBM32TZ4K,V1.0.0,2019-07-15 11:54:17,32.0
810EBM32TZ4K,V1.0.0,2019-07-15 11:54:22,32.0
810EBM32TZ4K,V1.0.0,2019-07-15 11:54:27,32.0
810EBM32TZ4K,V1.0.0,2019-07-15 11:54:32,32.0
810EBM32TZ4K,V1.0.0,2019-07-15 11:54:37,32.0
810EBM32TZ4K,V1.0.0,2019-07-15 11:54:42,32.0
810EBM32TZ4K,V1.0.0,2019-07-15 11:54:47,32.0
810EBM32TZ4K,V1.0.0,2019-07-15 11:54:53,32.0
810EBM32TZ4K,V1.0.0,2019-07-15 11:54:58,32.0
810EBM32TZ4K,V1.0.0,2019-07-15 11:55:03,32.0
810EBM32TZ4K,V1.0.0,2019-07-15 11:55:08,32.0
810EBM32TZ4K,V1.0.0,2019-07-15 11:55:13,32.0
810EBM32TZ4K,V1.0.0,2019-07-15 11:55:18,32.0
810EBM32TZ4K,V1.0.0,2019-07-15 11:55:23,32.0
810EBM32TZ4K,V1.0.0,2019-07-15 11:55:28,32.0
810EBM32TZ4K,V1.0.0,2019-07-15 11:55:33,32.0
810EBM32TZ4K,V1.0.0,2019-07-15 11:55:38,32.0
810EBM32TZ4K,V1.0.0,2019-07-15 11:55:44,32.0
810EBM32TZ4K,V1.0.0,2019-07-15 11:55:49,32.0
810EBM32TZ4K,V1.0.0,2019-07-15 11:55:54,32.0
810EBM32TZ4K,V1.0.0,2019-07-15 11:55:59,32.0
810EBM32TZ4K,V1.0.0,2019-07-15 11:56:04,32.0
810EBM32TZ4K,V1.0.0,2019-07-15 11:56:09,32.0
810EBM32TZ4K,V1.0.0,2019-07-15 11:56:14,32.0
810EBM32TZ4K,V1.0.0,2019-07-15 11:56:19,32.0
810EBM32TZ4K,V1.0.0,2019-07-15 11:56:24,32.0
810EBM32TZ4K,V1.0.0,2019-07-15 11:56:29,32.0
810EBM32TZ4K,V1.0.0,2019-07-15 11:56:35,32.0
810EBM32TZ4K,V1.0.0,2019-07-15 11:56:40,32.0
810EBM32TZ4K,V1.0.0,2019-07-15 11:56:45,32.0
810EBM32TZ4K,V1.0.0,2019-07-15 11:56:50,32.0
810EBM32TZ4K,V1.0.0,2019-07-15 11:56:55,32.0
810EBM32TZ4K,V1.0.0,2019-07-15 11:57:00,32.0
810EBM32TZ4K,V1.0.0,2019-07-15 11:57:05,32.0
810EBM32TZ4K,V1.0.0,2019-07-15 11:57:10,32.0
810EBM32TZ4K,V1.0.0,2019-07-15 11:57:15,32.0
810EBM32TZ4K,V1.0.0,2019-07-15 11:57:20,32.0
810EBM32TZ4K,V1.0.0,2019-07-15 11:57:26,32.0
810EBM32TZ4K,V1.0.0,2019-07-15 11:57:31,32.0
810EBM32TZ4K,V1.0.0,2019-07-15 11:57:36,32.0
810EBM32TZ4K,V1.0.0,2019-07-15 11:57:41,32.0
810EBM32TZ4K,V1.0.0,2019-07-15 11:57:46,32.0
810EBM32TZ4K,V1.0.0,2019-07-15 11:57:51,32.0
810EBM32TZ4K,V1.0.0,2019-07-15 11:57:56,32.0
810EBM32TZ4K,V1.0.0,2019-07-15 11:58:01,32.0
810EBM32TZ4K,V1.0.0,2019-07-15 11:58:06,32.0
810EBM32TZ4K,V1.0.0,2019-07-15 11:58:11,32.0
810EBM32TZ4K,V1.0.0,2019-07-15 11:58:17,32.0
810EBM32TZ4K,V1.0.0,2019-07-15 11:58:22,32.0
810EBM32TZ4K,V1.0.0,2019-07-15 11:58:27,32.0
810EBM32TZ4K,V1.0.0,2019-07-15 11:58:32,32.0
810EBM32TZ4K,V1.0.0,2019-07-15 11:58:37,32.0
810EBM32TZ4K,V1.0.0,2019-07-15 11:58:42,32.0
810EBM32TZ4K,V1.0.0,2019-07-15 11:58:47,32.0
810EBM32TZ4K,V1.0.0,2019-07-15 11:58:52,32.0
810EBM32TZ4K,V1.0.0,2019-07-15 11:58:57,32.0
810EBM32TZ4K,V1.0.0,2019-07-15 11:59:02,32.0
810EBM32TZ4K,V1.0.0,2019-07-15 11:59:08,32.0
810EBM32TZ4K,V1.0.0,2019-07-15 11:59:13,32.0
810EBM32TZ4K,V1.0.0,2019-07-15 11:59:18,32.0
810EBM32TZ4K,V1.0.0,2019-07-15 11:59:23,32.0
810EBM32TZ4K,V1.0.0,2019-07-15 11:59:28,32.0
810EBM32TZ4K,V1.0.0,2019-07-15 11:59:33,32.0
810EBM32TZ4K,V1.0.0,2019-07-15 11:59:38,32.0
810EBM32TZ4K,V1.0.0,2019-07-15 11:59:43,32.0
810EBM32TZ4K,V1.0.0,2019-07-15 11:59:48,32.0
810EBM32TZ4K,V1.0.0,2019-07-15 11:59:54,32.0
810EBM32TZ4K,V1.0.0,2019-07-15 11:59:59,32.0
810EBM32TZ4K,V1.0.0,2019-07-15 12:00:04,32.0
810EBM32TZ4K,V1.0.0,2019-07-15 12:00:09,32.0
810EBM32TZ4K,V1.0.0,2019-07-15 12:00:14,32.0
810EBM32TZ4K,V1.0.0,2019-07-15 12:00:19,32.0
810EBM32TZ4K,V1.0.0,2019-07-15 12:00:24,32.0
810EBM32TZ4K,V1.0.0,2019-07-15 12:00:29,32.0
810EBM32TZ4K,V1.0.0,2019-07-15 12:00:34,32.0
810EBM32TZ4K,V1.0.0,2019-07-15 12:00:39,32.0
810EBM32TZ4K,V1.0.0,2019-07-15 12:00:44,32.0
810EBM32TZ4K,V1.0.0,2019-07-15 12:00:49,32.0
810EBM32TZ4K,V1.0.0,2019-07-15 12:00:55,32.0
810EBM32TZ4K,V1.0.0,2019-07-15 12:01:00,32.0
810EBM32TZ4K,V1.0.0,2019-07-15 12:01:05,32.0
810EBM32TZ4K,V1.0.0,2019-07-15 12:01:10,32.0
810EBM32TZ4K,V1.0.0,2019-07-15 12:01:15,32.0
810EBM32TZ4K,V1.0.0,2019-07-15 12:01:20,32.0
810EBM32TZ4K,V1.0.0,2019-07-15 12:01:25,32.0
810EBM32TZ4K,V1.0.0,2019-07-15 12:01:30,32.0
810EBM32TZ4K,V1.0.0,2019-07-15 12:01:35,32.0
810EBM32TZ4K,V1.0.0,2019-07-15 12:01:41,32.0
810EBM32TZ4K,V1.0.0,2019-07-15 12:01:46,32.0
810EBM32TZ4K,V1.0.0,2019-07-15 12:01:51,32.0
810EBM32TZ4K,V1.0.0,2019-07-15 12:01:56,32.0
810EBM32TZ4K,V1.0.0,2019-07-15 12:02:01,32.0
810EBM32TZ4K,V1.0.0,2019-07-15 12:02:06,32.0
810EBM32TZ4K,V1.0.0,2019-07-15 12:02:11,32.0
810EBM32TZ4K,V1.0.0,2019-07-15 12:02:16,32.0
810EBM32TZ4K,V1.0.0,2019-07-15 12:02:21,32.0
810EBM32TZ4K,V1.0.0,2019-07-15 12:02:26,32.0
810EBM32TZ4K,V1.0.0,2019-07-15 12:02:31,32.0
810EBM32TZ4K,V1.0.0,2019-07-15 12:02:36,32.0
810EBM32TZ4K,V1.0.0,2019-07-15 12:02:42,32.0
810EBM32TZ4K,V1.0.0,2019-07-15 12:02:47,32.0
810EBM32TZ4K,V1.0.0,2019-07-15 12:02:52,32.0
810EBM32TZ4K,V1.0.0,2019-07-15 12:02:57,32.0
810EBM32TZ4K,V1.0.0,2019-07-15 12:03:02,32.0
810EBM32TZ4K,V1.0.0,2019-07-15 12:03:07,32.0
810EBM32TZ4K,V1.0.0,2019-07-15 12:03:12,32.0
810EBM32TZ4K,V1.0.0,2019-07-15 12:03:17,32.0
810EBM32TZ4K,V1.0.0,2019-07-15 12:03:22,32.0
810EBM32TZ4K,V1.0.0,2019-07-15 12:03:27,32.0
810EBM32TZ4K,V1.0.0,2019-07-15 12:03:32,32.0
810EBM32TZ4K,V1.0.0,2019-07-15 12:03:37,32.0
810EBM32TZ4K,V1.0.0,2019-07-15 12:03:43,32.0
810EBM32TZ4K,V1.0.0,2019-07-15 12:03:48,32.0
810EBM32TZ4K,V1.0.0,2019-07-15 12:03:53,32.0
810EBM32TZ4K,V1.0.0,2019-07-15 12:03:58,32.0
810EBM32TZ4K,V1.0.0,2019-07-15 12:04:03,32.0
810EBM32TZ4K,V1.0.0,2019-07-15 12:04:08,32.0
810EBM32TZ4K,V1.0.0,2019-07-15 12:04:13,32.0
810EBM32TZ4K,V1.0.0,2019-07-15 12:04:18,32.0
810EBM32TZ4K,V1.0.0,2019-07-15 12:04:23,32.0
810EBM32TZ4K,V1.0.0,2019-07-15 12:04:29,32.0
810EBM32TZ4K,V1.0.0,2019-07-15 12:04:34,32.0
810EBM32TZ4K,V1.0.0,2019-07-15 12:04:39,32.0
810EBM32TZ4K,V1.0.0,2019-07-15 12:04:44,32.0
810EBM32TZ4K,V1.0.0,2019-07-15 12:04:49,32.0
810EBM32TZ4K,V1.0.0,2019-07-15 12:04:54,32.0
810EBM32TZ4K,V1.0.0,2019-07-15 12:04:59,32.0
810EBM32TZ4K,V1.0.0,2019-07-15 12:05:04,32.0
810EBM32TZ4K,V1.0.0,2019-07-15 12:05:09,32.0
810EBM32TZ4K,V1.0.0,2019-07-15 12:05:14,32.0
810EBM32TZ4K,V1.0.0,2019-07-15 12:05:20,32.0
810EBM32TZ4K,V1.0.0,2019-07-15 12:05:25,32.0
810EBM32TZ4K,V1.0.0,2019-07-15 12:05:30,32.0
810EBM32TZ4K,V1.0.0,2019-07-15 12:05:35,32.0
810EBM32TZ4K,V1.0.0,2019-07-15 12:05:40,32.0
810EBM32TZ4K,V1.0.0,2019-07-15 12:05:45,32.0
810EBM32TZ4K,V1.0.0,2019-07-15 12:05:50,32.0
810EBM32TZ4K,V1.0.0,2019-07-15 12:05:55,32.0
810EBM32TZ4K,V1.0.0,2019-07-15 12:06:00,32.0
810EBM32TZ4K,V1.0.0,2019-07-15 12:06:05,32.0
810EBM32TZ4K,V1.0.0,2019-07-15 12:06:11,32.0
810EBM32TZ4K,V1.0.0,2019-07-15 12:06:16,32.0
810EBM32TZ4K,V1.0.0,2019-07-15 12:06:21,32.0
810EBM32TZ4K,V1.0.0,2019-07-15 12:06:26,32.0
810EBM32TZ4K,V1.0.0,2019-07-15 12:06:31,32.0
810EBM32TZ4K,V1.0.0,2019-07-15 12:06:36,32.0
810EBM32TZ4K,V1.0.0,2019-07-15 12:06:41,32.0
810EBM32TZ4K,V1.0.0,2019-07-15 12:06:46,32.0
810EBM32TZ4K,V1.0.0,2019-07-15 12:06:51,32.0
810EBM32TZ4K,V1.0.0,2019-07-15 12:06:56,32.0
810EBM32TZ4K,V1.0.0,2019-07-15 12:07:02,32.0
810EBM32TZ4K,V1.0.0,2019-07-15 12:07:07,32.0
810EBM32TZ4K,V1.0.0,2019-07-15 12:07:12,32.0
810EBM32TZ4K,V1.0.0,2019-07-15 12:07:17,32.0
810EBM32TZ4K,V1.0.0,2019-07-15 12:07:22,32.0
810EBM32TZ4K,V1.0.0,2019-07-15 12:07:27,32.0
810EBM32TZ4K,V1.0.0,2019-07-15 12:07:32,32.0
810EBM32TZ4K,V1.0.0,2019-07-15 12:07:37,32.0
810EBM32TZ4K,V1.0.0,2019-07-15 12:07:42,32.0
810EBM32TZ4K,V1.0.0,2019-07-15 12:07:47,32.0
810EBM32TZ4K,V1.0.0,2019-07-15 12:07:52,32.0
810EBM32TZ4K,V1.0.0,2019-07-15 12:07:58,32.0
810EBM32TZ4K,V1.0.0,2019-07-15 12:08:03,32.0
810EBM32TZ4K,V1.0.0,2019-07-15 12:08:08,32.0
810EBM32TZ4K,V1.0.0,2019-07-15 12:08:13,32.0
810EBM32TZ4K,V1.0.0,2019-07-15 12:08:18,32.0
810EBM32TZ4K,V1.0.0,2019-07-15 12:08:23,32.0
810EBM32TZ4K,V1.0.0,2019-07-15 12:08:28,32.0
810EBM32TZ4K,V1.0.0,2019-07-15 12:08:33,32.0
810EBM32TZ4K,V1.0.0,2019-07-15 12:08:38,32.0
810EBM32TZ4K,V1.0.0,2019-07-15 12:08:44,32.0
810EBM32TZ4K,V1.0.0,2019-07-15 12:08:49,32.0
810EBM32TZ4K,V1.0.0,2019-07-15 12:08:54,32.0
810EBM32TZ4K,V1.0.0,2019-07-15 12:08:59,32.0
810EBM32TZ4K,V1.0.0,2019-07-15 12:09:04,32.0
810EBM32TZ4K,V1.0.0,2019-07-15 12:09:09,32.0
810EBM32TZ4K,V1.0.0,2019-07-15 12:09:14,32.0
810EBM32TZ4K,V1.0.0,2019-07-15 12:09:19,32.0
810EBM32TZ4K,V1.0.0,2019-07-15 12:09:24,32.0
810EBM32TZ4K,V1.0.0,2019-07-15 12:09:30,32.0
810EBM32TZ4K,V1.0.0,2019-07-15 12:09:35,32.0
810EBM32TZ4K,V1.0.0,2019-07-15 12:09:40,32.0
810EBM32TZ4K,V1.0.0,2019-07-15 12:09:45,32.0
810EBM32TZ4K,V1.0.0,2019-07-15 12:09:50,32.0
810EBM32TZ4K,V1.0.0,2019-07-15 12:09:55,32.0
810EBM32TZ4K,V1.0.0,2019-07-15 12:10:00,32.0
810EBM32TZ4K,V1.0.0,2019-07-15 12:10:05,32.0
810EBM32TZ4K,V1.0.0,2019-07-15 12:10:10,32.0
810EBM32TZ4K,V1.0.0,2019-07-15 12:10:15,32.0
810EBM32TZ4K,V1.0.0,2019-07-15 12:10:21,32.0
810EBM32TZ4K,V1.0.0,2019-07-15 12:10:26,32.0
810EBM32TZ4K,V1.0.0,2019-07-15 12:10:31,32.0
810EBM32TZ4K,V1.0.0,2019-07-15 12:10:36,32.0
810EBM32TZ4K,V1.0.0,2019-07-15 12:10:41,32.0
810EBM32TZ4K,V1.0.0,2019-07-15 12:10:46,32.0
810EBM32TZ4K,V1.0.0,2019-07-15 12:10:51,32.0
810EBM32TZ4K,V1.0.0,2019-07-15 12:10:56,32.0
810EBM32TZ4K,V1.0.0,2019-07-15 12:11:02,32.0
810EBM32TZ4K,V1.0.0,2019-07-15 12:11:07,32.0
810EBM32TZ4K,V1.0.0,2019-07-15 12:11:12,32.0
810EBM32TZ4K,V1.0.0,2019-07-15 12:11:17,32.0
810EBM32TZ4K,V1.0.0,2019-07-15 12:11:22,32.0
810EBM32TZ4K,V1.0.0,2019-07-15 12:11:27,32.0
810EBM32TZ4K,V1.0.0,2019-07-15 12:11:32,32.0
810EBM32TZ4K,V1.0.0,2019-07-15 12:11:37,32.0
810EBM32TZ4K,V1.0.0,2019-07-15 12:11:42,32.0
810EBM32TZ4K,V1.0.0,2019-07-15 12:11:47,32.0
810EBM32TZ4K,V1.0.0,2019-07-15 12:11:53,32.0
810EBM32TZ4K,V1.0.0,2019-07-15 12:11:58,32.0
810EBM32TZ4K,V1.0.0,2019-07-15 12:12:03,32.0
810EBM32TZ4K,V1.0.0,2019-07-15 12:12:08,32.0
810EBM32TZ4K,V1.0.0,2019-07-15 12:12:13,32.0
810EBM32TZ4K,V1.0.0,2019-07-15 12:12:18,32.0
810EBM32TZ4K,V1.0.0,2019-07-15 12:12:23,32.0
810EBM32TZ4K,V1.0.0,2019-07-15 12:12:28,32.0
810EBM32TZ4K,V1.0.0,2019-07-15 12:12:34,32.0
810EBM32TZ4K,V1.0.0,2019-07-15 12:12:39,32.0
810EBM32TZ4K,V1.0.0,2019-07-15 12:12:44,32.0
810EBM32TZ4K,V1.0.0,2019-07-15 12:12:49,32.0
810EBM32TZ4K,V1.0.0,2019-07-15 12:12:54,32.0
810EBM32TZ4K,V1.0.0,2019-07-15 12:12:59,32.0
810EBM32TZ4K,V1.0.0,2019-07-15 12:13:04,32.0
810EBM32TZ4K,V1.0.0,2019-07-15 12:13:09,32.0
810EBM32TZ4K,V1.0.0,2019-07-15 12:13:14,32.0
810EBM32TZ4K,V1.0.0,2019-07-15 12:13:19,32.0
810EBM32TZ4K,V1.0.0,2019-07-15 12:13:25,32.0
810EBM32TZ4K,V1.0.0,2019-07-15 12:13:30,32.0
810EBM32TZ4K,V1.0.0,2019-07-15 12:13:35,32.0
810EBM32TZ4K,V1.0.0,2019-07-15 12:13:40,32.0
810EBM32TZ4K,V1.0.0,2019-07-15 12:13:45,32.0
810EBM32TZ4K,V1.0.0,2019-07-15 12:13:50,32.0
810EBM32TZ4K,V1.0.0,2019-07-15 12:13:55,32.0
810EBM32TZ4K,V1.0.0,2019-07-15 12:14:00,32.0
810EBM32TZ4K,V1.0.0,2019-07-15 12:14:06,32.0
810EBM32TZ4K,V1.0.0,2019-07-15 12:14:11,32.0
810EBM32TZ4K,V1.0.0,2019-07-15 12:14:16,32.0
810EBM32TZ4K,V1.0.0,2019-07-15 12:14:21,32.0
810EBM32TZ4K,V1.0.0,2019-07-15 12:14:26,32.0
810EBM32TZ4K,V1.0.0,2019-07-15 12:14:31,32.0
810EBM32TZ4K,V1.0.0,2019-07-15 12:14:36,32.0
810EBM32TZ4K,V1.0.0,2019-07-15 12:14:42,32.0
810EBM32TZ4K,V1.0.0,2019-07-15 12:14:47,32.0
810EBM32TZ4K,V1.0.0,2019-07-15 12:14:52,32.0
810EBM32TZ4K,V1.0.0,2019-07-15 12:14:57,32.0
810EBM32TZ4K,V1.0.0,2019-07-15 12:15:02,32.0
810EBM32TZ4K,V1.0.0,2019-07-15 12:15:07,32.0
810EBM32TZ4K,V1.0.0,2019-07-15 12:15:12,32.0
810EBM32TZ4K,V1.0.0,2019-07-15 12:15:17,32.0
810EBM32TZ4K,V1.0.0,2019-07-15 12:15:22,32.0
810EBM32TZ4K,V1.0.0,2019-07-15 12:15:27,32.0
810EBM32TZ4K,V1.0.0,2019-07-15 12:15:33,32.0
810EBM32TZ4K,V1.0.0,2019-07-15 12:15:38,32.0
810EBM32TZ4K,V1.0.0,2019-07-15 12:15:43,32.0
810EBM32TZ4K,V1.0.0,2019-07-15 12:15:48,32.0
810EBM32TZ4K,V1.0.0,2019-07-15 12:15:53,32.0
810EBM32TZ4K,V1.0.0,2019-07-15 12:15:58,32.0
810EBM32TZ4K,V1.0.0,2019-07-15 12:16:03,32.0
810EBM32TZ4K,V1.0.0,2019-07-15 12:16:08,32.0
810EBM32TZ4K,V1.0.0,2019-07-15 12:16:13,32.0
810EBM32TZ4K,V1.0.0,2019-07-15 12:16:19,32.0
810EBM32TZ4K,V1.0.0,2019-07-15 12:16:24,32.0
810EBM32TZ4K,V1.0.0,2019-07-15 12:16:29,32.0
810EBM32TZ4K,V1.0.0,2019-07-15 12:16:34,32.0
810EBM32TZ4K,V1.0.0,2019-07-15 12:16:39,32.0
810EBM32TZ4K,V1.0.0,2019-07-15 12:16:44,32.0
810EBM32TZ4K,V1.0.0,2019-07-15 12:16:49,32.0
810EBM32TZ4K,V1.0.0,2019-07-15 12:16:54,32.0
810EBM32TZ4K,V1.0.0,2019-07-15 12:16:59,32.0
810EBM32TZ4K,V1.0.0,2019-07-15 12:17:05,32.0
810EBM32TZ4K,V1.0.0,2019-07-15 12:17:10,32.0
810EBM32TZ4K,V1.0.0,2019-07-15 12:17:15,32.0
810EBM32TZ4K,V1.0.0,2019-07-15 12:17:20,32.0
810EBM32TZ4K,V1.0.0,2019-07-15 12:17:25,32.0
810EBM32TZ4K,V1.0.0,2019-07-15 12:17:30,32.0
810EBM32TZ4K,V1.0.0,2019-07-15 12:17:35,32.0
810EBM32TZ4K,V1.0.0,2019-07-15 12:17:40,32.0
810EBM32TZ4K,V1.0.0,2019-07-15 12:17:45,32.0
810EBM32TZ4K,V1.0.0,2019-07-15 12:17:51,32.0
810EBM32TZ4K,V1.0.0,2019-07-15 12:17:56,32.0
810EBM32TZ4K,V1.0.0,2019-07-15 12:18:01,32.0
810EBM32TZ4K,V1.0.0,2019-07-15 12:18:06,32.0
810EBM32TZ4K,V1.0.0,2019-07-15 12:18:11,32.0
810EBM32TZ4K,V1.0.0,2019-07-15 12:18:16,32.0
810EBM32TZ4K,V1.0.0,2019-07-15 12:18:21,32.0
810EBM32TZ4K,V1.0.0,2019-07-15 12:18:27,32.0
810EBM32TZ4K,V1.0.0,2019-07-15 12:18:32,32.0
810EBM32TZ4K,V1.0.0,2019-07-15 12:18:37,32.0
810EBM32TZ4K,V1.0.0,2019-07-15 12:18:42,32.0
810EBM32TZ4K,V1.0.0,2019-07-15 12:18:47,32.0
810EBM32TZ4K,V1.0.0,2019-07-15 12:18:52,32.0
810EBM32TZ4K,V1.0.0,2019-07-15 12:18:57,32.0
