deviceid,appversion,timestamp,id,vss,rss
810EBM32TZ4K,V1.0.0,2019-03-14 17:41:46,1,1691328,76156
810EBM32TZ4K,V1.0.0,2019-03-14 17:41:46,2,1688860,77176
810EBM32TZ4K,V1.0.0,2019-03-14 17:41:46,3,1688880,77644
810EBM32TZ4K,V1.0.0,2019-03-14 17:41:46,4,1689940,78552
810EBM32TZ4K,V1.0.0,2019-03-14 17:41:46,5,1688912,78548
810EBM32TZ4K,V1.0.0,2019-03-14 17:41:46,6,1688912,78548
810EBM32TZ4K,V1.0.0,2019-03-14 17:41:46,7,1690132,79252
810EBM32TZ4K,V1.0.0,2019-03-14 17:41:46,8,1691296,79516
810EBM32TZ4K,V1.0.0,2019-03-14 17:41:46,9,1691160,79644
810EBM32TZ4K,V1.0.0,2019-03-14 17:41:46,10,1696536,83748
810EBM32TZ4K,V1.0.0,2019-03-14 17:41:46,11,1696536,84028
810EBM32TZ4K,V1.0.0,2019-03-14 17:41:46,12,1697544,85004
810EBM32TZ4K,V1.0.0,2019-03-14 17:41:46,13,1695160,84236
810EBM32TZ4K,V1.0.0,2019-03-14 17:41:46,14,1694120,83712
810EBM32TZ4K,V1.0.0,2019-03-14 17:41:46,15,1694120,83692
810EBM32TZ4K,V1.0.0,2019-03-14 17:41:46,16,1694204,84080
810EBM32TZ4K,V1.0.0,2019-03-14 17:41:46,17,1694100,83720
810EBM32TZ4K,V1.0.0,2019-03-14 17:41:46,18,1696128,83748
810EBM32TZ4K,V1.0.0,2019-03-14 17:41:46,19,1696220,83844
810EBM32TZ4K,V1.0.0,2019-03-14 17:41:46,20,1696220,83844
810EBM32TZ4K,V1.0.0,2019-03-14 17:41:46,21,1696220,83820
810EBM32TZ4K,V1.0.0,2019-03-14 17:41:46,22,1696060,83588
810EBM32TZ4K,V1.0.0,2019-03-14 17:41:46,23,1696288,83832
810EBM32TZ4K,V1.0.0,2019-03-14 17:41:46,24,1696220,83736
810EBM32TZ4K,V1.0.0,2019-03-14 17:41:46,25,1696096,83708
810EBM32TZ4K,V1.0.0,2019-03-14 17:41:46,26,1696220,83836
810EBM32TZ4K,V1.0.0,2019-03-14 17:41:46,27,1696220,83640
810EBM32TZ4K,V1.0.0,2019-03-14 17:41:46,28,1696092,83712
810EBM32TZ4K,V1.0.0,2019-03-14 17:41:46,29,1696220,83840
810EBM32TZ4K,V1.0.0,2019-03-14 17:41:46,30,1696220,83736
810EBM32TZ4K,V1.0.0,2019-03-14 17:41:46,31,1696092,83744
810EBM32TZ4K,V1.0.0,2019-03-14 17:41:46,32,1696288,84008
810EBM32TZ4K,V1.0.0,2019-03-14 17:41:46,33,1696220,84088
810EBM32TZ4K,V1.0.0,2019-03-14 17:41:46,34,1698392,85376
810EBM32TZ4K,V1.0.0,2019-03-14 17:41:46,35,1697324,85280
810EBM32TZ4K,V1.0.0,2019-03-14 17:41:46,36,1696188,84720
810EBM32TZ4K,V1.0.0,2019-03-14 17:41:46,37,1696220,84596
810EBM32TZ4K,V1.0.0,2019-03-14 17:41:46,38,1697168,85144
810EBM32TZ4K,V1.0.0,2019-03-14 17:41:46,39,1697448,85176
810EBM32TZ4K,V1.0.0,2019-03-14 17:41:46,40,1699584,90140
810EBM32TZ4K,V1.0.0,2019-03-14 17:41:46,41,1699076,100588
810EBM32TZ4K,V1.0.0,2019-03-14 17:41:46,42,1705232,100868
810EBM32TZ4K,V1.0.0,2019-03-14 17:41:46,43,1705168,100836
810EBM32TZ4K,V1.0.0,2019-03-14 17:41:46,44,1707220,102948
810EBM32TZ4K,V1.0.0,2019-03-14 17:41:46,45,1705164,103384
810EBM32TZ4K,V1.0.0,2019-03-14 17:41:46,46,1713664,114080
810EBM32TZ4K,V1.0.0,2019-03-14 17:41:46,47,1713664,114080
810EBM32TZ4K,V1.0.0,2019-03-14 17:41:46,48,1715456,109028
810EBM32TZ4K,V1.0.0,2019-03-14 17:41:46,49,1711540,107928
810EBM32TZ4K,V1.0.0,2019-03-14 17:41:46,50,1710512,107568
810EBM32TZ4K,V1.0.0,2019-03-14 17:41:46,51,1710512,107568
810EBM32TZ4K,V1.0.0,2019-03-14 17:41:46,52,1710512,107568
810EBM32TZ4K,V1.0.0,2019-03-14 17:41:46,53,1695260,107584
810EBM32TZ4K,V1.0.0,2019-03-14 17:41:46,54,1703676,108064
810EBM32TZ4K,V1.0.0,2019-03-14 17:41:46,55,1711632,108068
810EBM32TZ4K,V1.0.0,2019-03-14 17:41:46,56,1711792,108300
810EBM32TZ4K,V1.0.0,2019-03-14 17:41:46,57,1698036,117936
810EBM32TZ4K,V1.0.0,2019-03-14 17:41:46,58,1702748,109264
810EBM32TZ4K,V1.0.0,2019-03-14 17:41:46,59,1702748,109232
810EBM32TZ4K,V1.0.0,2019-03-14 17:41:46,60,1702748,109232
810EBM32TZ4K,V1.0.0,2019-03-14 17:41:46,61,1702748,109232
810EBM32TZ4K,V1.0.0,2019-03-14 17:41:46,62,1702748,109232
810EBM32TZ4K,V1.0.0,2019-03-14 17:41:46,63,1702748,109232
810EBM32TZ4K,V1.0.0,2019-03-14 17:41:46,64,1712200,118148
810EBM32TZ4K,V1.0.0,2019-03-14 17:41:46,65,1703848,109612
810EBM32TZ4K,V1.0.0,2019-03-14 17:41:46,66,1703848,109612
810EBM32TZ4K,V1.0.0,2019-03-14 17:41:46,67,1712028,110320
810EBM32TZ4K,V1.0.0,2019-03-14 17:41:46,68,1712316,110620
810EBM32TZ4K,V1.0.0,2019-03-14 17:41:46,69,1715140,121708
810EBM32TZ4K,V1.0.0,2019-03-14 17:41:46,70,1715140,122080
810EBM32TZ4K,V1.0.0,2019-03-14 17:41:46,71,1714480,114548
810EBM32TZ4K,V1.0.0,2019-03-14 17:41:46,72,1713068,113964
810EBM32TZ4K,V1.0.0,2019-03-14 17:41:46,73,1712040,113956
810EBM32TZ4K,V1.0.0,2019-03-14 17:41:46,74,1712040,112784
810EBM32TZ4K,V1.0.0,2019-03-14 17:41:46,75,1712040,112784
810EBM32TZ4K,V1.0.0,2019-03-14 17:41:46,76,1697112,121472
810EBM32TZ4K,V1.0.0,2019-03-14 17:41:46,77,1696788,112448
810EBM32TZ4K,V1.0.0,2019-03-14 17:41:46,78,1713100,112832
810EBM32TZ4K,V1.0.0,2019-03-14 17:41:46,79,1713100,112800
810EBM32TZ4K,V1.0.0,2019-03-14 17:41:46,80,1713260,112952
810EBM32TZ4K,V1.0.0,2019-03-14 17:41:46,81,1714676,122052
810EBM32TZ4K,V1.0.0,2019-03-14 17:41:46,82,1714676,121428
810EBM32TZ4K,V1.0.0,2019-03-14 17:41:46,83,1712208,110684
810EBM32TZ4K,V1.0.0,2019-03-14 17:41:46,84,1712040,110344
810EBM32TZ4K,V1.0.0,2019-03-14 17:41:46,85,1712040,110344
810EBM32TZ4K,V1.0.0,2019-03-14 17:41:46,86,1712040,110344
810EBM32TZ4K,V1.0.0,2019-03-14 17:41:46,87,1712040,110344
810EBM32TZ4K,V1.0.0,2019-03-14 17:41:46,88,1696804,110652
810EBM32TZ4K,V1.0.0,2019-03-14 17:41:46,89,1696804,110616
810EBM32TZ4K,V1.0.0,2019-03-14 17:41:46,90,1715152,112460
810EBM32TZ4K,V1.0.0,2019-03-14 17:41:46,91,1713712,112236
810EBM32TZ4K,V1.0.0,2019-03-14 17:41:46,92,1713712,112204
810EBM32TZ4K,V1.0.0,2019-03-14 17:41:46,93,1714320,122000
810EBM32TZ4K,V1.0.0,2019-03-14 17:41:46,94,1714320,122204
810EBM32TZ4K,V1.0.0,2019-03-14 17:41:46,95,1713008,113828
810EBM32TZ4K,V1.0.0,2019-03-14 17:41:46,96,1712708,113128
810EBM32TZ4K,V1.0.0,2019-03-14 17:41:46,97,1712708,113128
810EBM32TZ4K,V1.0.0,2019-03-14 17:41:46,98,1712708,113128
810EBM32TZ4K,V1.0.0,2019-03-14 17:41:46,99,1712708,113128
810EBM32TZ4K,V1.0.0,2019-03-14 17:41:46,100,1697472,113648
810EBM32TZ4K,V1.0.0,2019-03-14 17:41:46,101,1697472,113424
810EBM32TZ4K,V1.0.0,2019-03-14 17:41:46,102,1705832,114288
810EBM32TZ4K,V1.0.0,2019-03-14 17:41:46,103,1705768,114288
810EBM32TZ4K,V1.0.0,2019-03-14 17:41:46,104,1705768,114288
810EBM32TZ4K,V1.0.0,2019-03-14 17:41:46,105,1712576,113128
810EBM32TZ4K,V1.0.0,2019-03-14 17:41:46,106,1715500,121932
810EBM32TZ4K,V1.0.0,2019-03-14 17:41:46,107,1716800,124492
810EBM32TZ4K,V1.0.0,2019-03-14 17:41:46,108,1712604,115300
810EBM32TZ4K,V1.0.0,2019-03-14 17:41:46,109,1712604,113780
810EBM32TZ4K,V1.0.0,2019-03-14 17:41:46,110,1712604,113780
810EBM32TZ4K,V1.0.0,2019-03-14 17:41:46,111,1712604,113780
810EBM32TZ4K,V1.0.0,2019-03-14 17:41:46,112,1712640,113948
810EBM32TZ4K,V1.0.0,2019-03-14 17:41:46,113,1705560,114312
810EBM32TZ4K,V1.0.0,2019-03-14 17:41:46,114,1714240,114496
810EBM32TZ4K,V1.0.0,2019-03-14 17:41:46,115,1713824,114240
810EBM32TZ4K,V1.0.0,2019-03-14 17:41:46,116,1713824,114240
810EBM32TZ4K,V1.0.0,2019-03-14 17:41:46,117,1715560,124060
810EBM32TZ4K,V1.0.0,2019-03-14 17:41:46,118,1715840,124036
810EBM32TZ4K,V1.0.0,2019-03-14 17:41:46,119,1715572,115928
810EBM32TZ4K,V1.0.0,2019-03-14 17:41:46,120,1714212,114964
810EBM32TZ4K,V1.0.0,2019-03-14 17:41:46,121,1714212,114932
810EBM32TZ4K,V1.0.0,2019-03-14 17:41:46,122,1714212,114932
810EBM32TZ4K,V1.0.0,2019-03-14 17:41:46,123,1714212,114932
810EBM32TZ4K,V1.0.0,2019-03-14 17:41:46,124,1707388,124188
810EBM32TZ4K,V1.0.0,2019-03-14 17:41:46,125,1707000,115412
810EBM32TZ4K,V1.0.0,2019-03-14 17:41:46,126,1707000,115412
810EBM32TZ4K,V1.0.0,2019-03-14 17:41:46,127,1715364,115444
810EBM32TZ4K,V1.0.0,2019-03-14 17:41:46,128,1715264,115412
810EBM32TZ4K,V1.0.0,2019-03-14 17:41:46,129,1715264,114508
810EBM32TZ4K,V1.0.0,2019-03-14 17:41:46,130,1716868,115716
810EBM32TZ4K,V1.0.0,2019-03-14 17:41:46,131,1716868,115940
810EBM32TZ4K,V1.0.0,2019-03-14 17:41:46,132,1706668,116396
810EBM32TZ4K,V1.0.0,2019-03-14 17:41:46,133,1706440,116040
810EBM32TZ4K,V1.0.0,2019-03-14 17:41:46,134,1706440,116040
810EBM32TZ4K,V1.0.0,2019-03-14 17:41:46,135,1706440,116040
810EBM32TZ4K,V1.0.0,2019-03-14 17:41:46,136,1706440,116020
810EBM32TZ4K,V1.0.0,2019-03-14 17:41:46,137,1707812,116288
810EBM32TZ4K,V1.0.0,2019-03-14 17:41:46,138,1707556,116064
810EBM32TZ4K,V1.0.0,2019-03-14 17:41:46,139,1715820,116244
810EBM32TZ4K,V1.0.0,2019-03-14 17:41:46,140,1715820,116244
810EBM32TZ4K,V1.0.0,2019-03-14 17:41:46,141,1715820,116244
810EBM32TZ4K,V1.0.0,2019-03-14 17:41:46,142,1732900,121732
810EBM32TZ4K,V1.0.0,2019-03-14 17:41:46,143,1705892,112788
810EBM32TZ4K,V1.0.0,2019-03-14 17:41:46,144,1705892,112756
810EBM32TZ4K,V1.0.0,2019-03-14 17:41:46,145,1705892,112756
810EBM32TZ4K,V1.0.0,2019-03-14 17:41:46,146,1705892,112412
810EBM32TZ4K,V1.0.0,2019-03-14 17:41:46,147,1705892,112412
810EBM32TZ4K,V1.0.0,2019-03-14 17:41:46,148,1705892,112412
810EBM32TZ4K,V1.0.0,2019-03-14 17:41:46,149,1705932,112620
810EBM32TZ4K,V1.0.0,2019-03-14 17:41:46,150,1707012,113284
810EBM32TZ4K,V1.0.0,2019-03-14 17:41:46,151,1715692,113516
810EBM32TZ4K,V1.0.0,2019-03-14 17:41:46,152,1699308,122280
810EBM32TZ4K,V1.0.0,2019-03-14 17:41:46,153,1706116,113528
810EBM32TZ4K,V1.0.0,2019-03-14 17:41:46,154,1706116,113528
810EBM32TZ4K,V1.0.0,2019-03-14 17:41:46,155,1704424,124384
810EBM32TZ4K,V1.0.0,2019-03-14 17:41:46,156,1718804,115928
810EBM32TZ4K,V1.0.0,2019-03-14 17:41:46,157,1718484,115736
810EBM32TZ4K,V1.0.0,2019-03-14 17:41:46,158,1718612,115832
810EBM32TZ4K,V1.0.0,2019-03-14 17:41:46,159,1718612,116040
810EBM32TZ4K,V1.0.0,2019-03-14 17:41:46,160,1718612,116020
810EBM32TZ4K,V1.0.0,2019-03-14 17:41:46,161,1718484,115892
810EBM32TZ4K,V1.0.0,2019-03-14 17:41:46,162,1702180,124976
810EBM32TZ4K,V1.0.0,2019-03-14 17:41:46,163,1710048,116360
810EBM32TZ4K,V1.0.0,2019-03-14 17:41:46,164,1710048,116328
810EBM32TZ4K,V1.0.0,2019-03-14 17:41:46,165,1715300,119716
810EBM32TZ4K,V1.0.0,2019-03-14 17:41:46,166,1713040,119264
810EBM32TZ4K,V1.0.0,2019-03-14 17:41:46,167,1713040,117308
810EBM32TZ4K,V1.0.0,2019-03-14 17:41:46,168,1713040,117308
810EBM32TZ4K,V1.0.0,2019-03-14 17:41:46,169,1713040,117308
810EBM32TZ4K,V1.0.0,2019-03-14 17:41:46,170,1713040,117308
810EBM32TZ4K,V1.0.0,2019-03-14 17:41:46,171,1713040,117308
810EBM32TZ4K,V1.0.0,2019-03-14 17:41:46,172,1704972,117364
810EBM32TZ4K,V1.0.0,2019-03-14 17:41:46,173,1704972,117548
810EBM32TZ4K,V1.0.0,2019-03-14 17:41:46,174,1716568,128484
810EBM32TZ4K,V1.0.0,2019-03-14 17:41:46,175,1714060,119708
810EBM32TZ4K,V1.0.0,2019-03-14 17:41:46,176,1714060,119676
810EBM32TZ4K,V1.0.0,2019-03-14 17:41:46,177,1714060,119676
810EBM32TZ4K,V1.0.0,2019-03-14 17:41:46,178,1714060,119676
810EBM32TZ4K,V1.0.0,2019-03-14 17:41:46,179,1714060,119676
810EBM32TZ4K,V1.0.0,2019-03-14 17:41:46,180,1714060,119676
810EBM32TZ4K,V1.0.0,2019-03-14 17:41:46,181,1706316,128580
810EBM32TZ4K,V1.0.0,2019-03-14 17:41:46,182,1705992,119836
810EBM32TZ4K,V1.0.0,2019-03-14 17:41:46,183,1705992,119836
810EBM32TZ4K,V1.0.0,2019-03-14 17:41:46,184,1723788,121060
810EBM32TZ4K,V1.0.0,2019-03-14 17:41:46,185,1723788,121036
810EBM32TZ4K,V1.0.0,2019-03-14 17:41:46,186,1780932,134420
810EBM32TZ4K,V1.0.0,2019-03-14 17:41:46,187,1788084,135588
810EBM32TZ4K,V1.0.0,2019-03-14 17:41:46,188,1802932,152544
810EBM32TZ4K,V1.0.0,2019-03-14 17:41:46,189,1802288,152544
810EBM32TZ4K,V1.0.0,2019-03-14 17:41:46,190,1801260,151860
810EBM32TZ4K,V1.0.0,2019-03-14 17:41:46,191,1758792,139100
810EBM32TZ4K,V1.0.0,2019-03-14 17:41:46,192,1758784,134296
810EBM32TZ4K,V1.0.0,2019-03-14 17:41:46,193,1780480,136776
810EBM32TZ4K,V1.0.0,2019-03-14 17:41:46,194,1778988,136528
810EBM32TZ4K,V1.0.0,2019-03-14 17:41:46,195,1778988,136528
810EBM32TZ4K,V1.0.0,2019-03-14 17:41:46,196,1759272,145236
810EBM32TZ4K,V1.0.0,2019-03-14 17:41:46,197,1767124,134468
810EBM32TZ4K,V1.0.0,2019-03-14 17:41:46,198,1767124,134436
810EBM32TZ4K,V1.0.0,2019-03-14 17:41:46,199,1767124,134436
810EBM32TZ4K,V1.0.0,2019-03-14 17:41:46,200,1767124,134436
810EBM32TZ4K,V1.0.0,2019-03-14 17:41:46,201,1767124,134436
810EBM32TZ4K,V1.0.0,2019-03-14 17:41:46,202,1767124,134436
810EBM32TZ4K,V1.0.0,2019-03-14 17:41:46,203,1767124,134436
810EBM32TZ4K,V1.0.0,2019-03-14 17:41:46,204,1767124,134436
810EBM32TZ4K,V1.0.0,2019-03-14 17:41:46,205,1767124,134436
810EBM32TZ4K,V1.0.0,2019-03-14 17:41:46,206,1767124,134436
810EBM32TZ4K,V1.0.0,2019-03-14 17:41:46,207,1767124,134436
810EBM32TZ4K,V1.0.0,2019-03-14 17:41:46,208,1767124,134436
810EBM32TZ4K,V1.0.0,2019-03-14 17:41:46,209,1767124,134436
810EBM32TZ4K,V1.0.0,2019-03-14 17:41:46,210,1767124,134436
810EBM32TZ4K,V1.0.0,2019-03-14 17:41:46,211,1767124,134436
810EBM32TZ4K,V1.0.0,2019-03-14 17:41:46,212,1767124,134436
810EBM32TZ4K,V1.0.0,2019-03-14 17:41:46,213,1767124,134436
810EBM32TZ4K,V1.0.0,2019-03-14 17:41:46,214,1767124,134436
810EBM32TZ4K,V1.0.0,2019-03-14 17:41:46,215,1767124,134436
810EBM32TZ4K,V1.0.0,2019-03-14 17:41:46,216,1767124,134436
810EBM32TZ4K,V1.0.0,2019-03-14 17:41:46,217,1767124,134436
810EBM32TZ4K,V1.0.0,2019-03-14 17:41:46,218,1767124,134436
810EBM32TZ4K,V1.0.0,2019-03-14 17:41:46,219,1767124,134436
810EBM32TZ4K,V1.0.0,2019-03-14 17:41:46,220,1767124,134436
810EBM32TZ4K,V1.0.0,2019-03-14 17:41:46,221,1767124,134436
810EBM32TZ4K,V1.0.0,2019-03-14 17:41:46,222,1767124,134436
810EBM32TZ4K,V1.0.0,2019-03-14 17:41:46,223,1767124,134436
810EBM32TZ4K,V1.0.0,2019-03-14 17:41:46,224,1767124,134436
810EBM32TZ4K,V1.0.0,2019-03-14 17:41:46,225,1767124,134436
810EBM32TZ4K,V1.0.0,2019-03-14 17:41:46,226,1767124,134436
810EBM32TZ4K,V1.0.0,2019-03-14 17:41:46,227,1767124,134436
810EBM32TZ4K,V1.0.0,2019-03-14 17:41:46,228,1767124,134436
810EBM32TZ4K,V1.0.0,2019-03-14 17:41:46,229,1767124,134436
810EBM32TZ4K,V1.0.0,2019-03-14 17:41:46,230,1767124,134436
810EBM32TZ4K,V1.0.0,2019-03-14 17:41:46,231,1767124,134436
810EBM32TZ4K,V1.0.0,2019-03-14 17:41:46,232,1767124,134436
810EBM32TZ4K,V1.0.0,2019-03-14 17:41:46,233,1767124,134436
810EBM32TZ4K,V1.0.0,2019-03-14 17:41:46,234,1767124,134436
810EBM32TZ4K,V1.0.0,2019-03-14 17:41:46,235,1767124,134436
810EBM32TZ4K,V1.0.0,2019-03-14 17:41:46,236,1767124,134436
810EBM32TZ4K,V1.0.0,2019-03-14 17:41:46,237,1767124,134436
810EBM32TZ4K,V1.0.0,2019-03-14 17:41:46,238,1767124,134436
810EBM32TZ4K,V1.0.0,2019-03-14 17:41:46,239,1767124,134436
810EBM32TZ4K,V1.0.0,2019-03-14 17:41:46,240,1767124,134436
810EBM32TZ4K,V1.0.0,2019-03-14 17:41:46,241,1767124,134436
810EBM32TZ4K,V1.0.0,2019-03-14 17:41:46,242,1767124,134436
810EBM32TZ4K,V1.0.0,2019-03-14 17:41:46,243,1767124,134436
810EBM32TZ4K,V1.0.0,2019-03-14 17:41:46,244,1767124,134436
810EBM32TZ4K,V1.0.0,2019-03-14 17:41:46,245,1767124,134436
810EBM32TZ4K,V1.0.0,2019-03-14 17:41:46,246,1767124,134436
810EBM32TZ4K,V1.0.0,2019-03-14 17:41:46,247,1767124,134436
810EBM32TZ4K,V1.0.0,2019-03-14 17:41:46,248,1767124,134436
810EBM32TZ4K,V1.0.0,2019-03-14 17:41:46,249,1767124,134436
810EBM32TZ4K,V1.0.0,2019-03-14 17:41:46,250,1767124,134436
810EBM32TZ4K,V1.0.0,2019-03-14 17:41:46,251,1766064,134468
810EBM32TZ4K,V1.0.0,2019-03-14 17:41:46,252,1766064,134468
